
2026-06-29T18:11:33.941463300,40.0,0.0,WARNING_TEMP
2026-06-29T18:12:16.932122300,40.0,0.0,WARNING_TEMP
2026-06-30T00:41:34.030697700,27.1,9.85,NORMAL
2026-06-30T10:49:48.772839900,27.1,11.62,NORMAL
2026-06-30T10:49:48.775844300,26.8,11.92,NORMAL
2026-06-30T10:49:48.776846100,27.1,10.59,NORMAL
2026-06-30T10:49:48.777847200,27.1,11.62,NORMAL
2026-06-30T10:50:23.523861,26.9,11.81,NORMAL
2026-06-30T10:50:23.528865900,26.9,11.84,NORMAL
2026-06-30T10:50:23.528865900,26.8,11.1,NORMAL
2026-06-30T10:50:23.529865900,26.9,11.81,NORMAL
2026-06-30T10:50:23.530865900,26.9,11.84,NORMAL
2026-06-30T10:50:23.530865900,26.8,11.1,NORMAL
